country,year,death_rate,assault_rate_per_100k,homicide_rate_per_100k,country,year,bottom_40_income_share,disposable_income_per_capita,inability_make_ends_meet_percentage,gdp_per_capita,mean_income,median_income,purchasing_power,country,year,early_leavers_percentage,tertiary_attainment_percentage,country,year,life_expectancy,healthy_expectancy_2004_2021,country,year,emigration,immigration,country,year,deprivation_percentage,house_deprivation_percentage,poverty_risk_percentage,risk_after_social_transfer_percentage,country,year,average_annual_net_earnings,employment_rate,income_inequality_ratio,work_poverty_risk_percentage
LU,2016,0.45,98.74,0.87,LU,2016,21.7,31503,4.2,84840,31903,27834,78500,LU,2016,5.5,51.5,LU,2016,82.7,60.2,LU,2016,13442,22888,LU,2016,2,2.1,19.1,15.8,LU,2016,38935.73,70.7,4.59,10.9
LU,2017,0.15,99.04,0.34,LU,2017,21.7,32766,5.1,84090,33484,29596,79000,LU,2017,7.3,51.3,LU,2017,82.1,59.2,LU,2017,13831,24379,LU,2017,1.9,2.3,19.3,16.4,LU,2017,41340.39,71.5,4.57,10.8
LU,2018,0.44,101.49,0.5,LU,2018,20.6,34028,4.7,83510,32003,27529,79000,LU,2018,6.3,53.7,LU,2018,82.3,60.7,LU,2018,13985,24644,LU,2018,1.6,2.2,20.1,16.7,LU,2018,42063.48,72.1,5.2,11.5
LU,2019,0.69,103.76,0.65,LU,2019,20.4,34018,3.7,84280,34089,28943,78900,LU,2019,7.2,56.1,LU,2019,82.7,62.6,LU,2019,15593,26668,LU,2019,1.4,2,20.1,17.5,LU,2019,42650.78,72.8,5.44,12.1
LU,2020,0.3,77.62,0.32,LU,2020,20.6,34510,3.8,82130,33103,28675,78000,LU,2020,8.2,60.6,LU,2020,82.2,63.3,LU,2020,14870,22490,LU,2020,1.7,1.6,19.9,17.4,LU,2020,44374.32,72.1,5.07,11.9
LV,2015,5.14,26.89,4.08,LV,2015,18.1,12574,15.4,10760,9676,8092,18000,LV,2015,9.9,39.9,LV,2015,74.8,53,LV,2015,20119,9479,LV,2015,15.4,15.5,30,22.5,LV,2015,6814.57,72.5,6.93,9.2
LV,2016,4.54,33.37,5.64,LV,2016,18.6,13148,12.4,11110,10947,9257,18600,LV,2016,10,42.1,LV,2016,74.9,53.6,LV,2016,20574,8345,LV,2016,12.6,14.6,28.2,21.8,LV,2016,7212.23,73,6.23,8.3
LV,2017,3.76,33.69,5.59,LV,2017,18.3,14048,13.5,11590,10961,9248,19700,LV,2017,8.6,41.6,LV,2017,74.9,51.4,LV,2017,17724,9916,LV,2017,12.9,15.2,28.5,22.1,LV,2017,7772.59,74.6,6.29,8.8
LV,2018,3.84,33.4,5.22,LV,2018,17.9,14840,10.3,12140,11953,10031,20900,LV,2018,8.3,41.6,LV,2018,75.1,52.3,LV,2018,15814,10909,LV,2018,10.4,14.9,28.4,23.3,LV,2018,8474.82,76.8,6.68,8.1
LV,2019,3.32,33.28,4.74,LV,2019,18.3,15398,7.8,12300,13135,11031,21700,LV,2019,8.7,43.8,LV,2019,75.7,53.1,LV,2019,14583,11223,LV,2019,7.5,12.7,26.7,22.9,LV,2019,9144.05,77.3,6.12,8.5
LV,2020,3.5,31.24,4.88,LV,2020,18.8,15778,7.2,11940,13377,11339,21500,LV,2020,7.2,44.2,LV,2020,75.5,53.4,LV,2020,11990,8840,LV,2020,7,11.5,25.1,21.6,LV,2020,9786.84,76.9,6.06,8.2
NL,2015,0.65,30.18,0.71,NL,2015,23.7,23576,3.3,39170,21785,19387,36200,NL,2015,8.2,45.1,NL,2015,81.6,59.1,NL,2015,112330,166872,NL,2015,3.2,1,16.4,11.6,NL,2015,34551.5,77.2,4,5
NL,2016,0.62,29.57,0.64,NL,2016,23.3,23542,3,39810,23642,21189,36300,NL,2016,8,45.2,NL,2016,81.7,60.3,NL,2016,111477,189232,NL,2016,2.6,1.4,16.3,12.7,NL,2016,34975.7,77.9,4.12,5.6
NL,2017,0.78,28.01,0.92,NL,2017,23.2,24207,3.2,40730,23704,21195,37800,NL,2017,7.1,46.6,NL,2017,81.8,60,NL,2017,108231,189646,NL,2017,2.6,1,16.6,13.2,NL,2017,35426.38,78.9,4.2,6.1
NL,2018,0.6,26.66,0.69,NL,2018,23.1,25289,2.2,41450,24067,21528,39200,NL,2018,7.3,47.6,NL,2018,81.9,59.2,NL,2018,109635,194306,NL,2018,2.6,1.3,16.5,13.3,NL,2018,35838.18,80,4.28,6.1
NL,2019,0.64,28.01,0.72,NL,2019,23.4,25844,2.9,41980,24413,21968,39700,NL,2019,7.5,49.1,NL,2019,82.2,61,NL,2019,107906,215756,NL,2019,2.8,1.5,16.5,13.2,NL,2019,37402.24,81,4.11,5.5
NL,2020,0.61,29.96,0.7,NL,2020,22.9,26826,1.8,40130,25114,22117,39000,NL,2020,7,52.3,NL,2020,81.4,61.1,NL,2020,102502,182244,NL,2020,2.2,1.5,16,13.4,NL,2020,39142.87,80.8,4.4,5.6
PL,2015,0.78,18.31,0.76,PL,2015,21.1,14617,10.2,10890,11419,9950,19000,PL,2015,5.3,43.2,PL,2015,77.5,61.6,PL,2015,258837,218147,PL,2015,7.8,9.8,22.5,17.6,PL,2015,8275.99,66.3,5.23,11.2
PL,2016,0.76,20.07,0.67,PL,2016,21.3,15099,8.4,11220,12297,10865,19300,PL,2016,5.2,43.5,PL,2016,78,62.9,PL,2016,236441,208302,PL,2016,5.4,9.4,20.6,17.3,PL,2016,8200.43,68.2,5.05,10.8
PL,2017,0.7,19.23,0.73,PL,2017,22.1,15541,6.8,11800,12691,11079,20300,PL,2017,5,43.6,PL,2017,77.8,62,PL,2017,218492,209353,PL,2017,5.3,9.8,18.7,15,PL,2017,8975.57,70,4.78,9.9
PL,2018,0.54,17.41,0.7,PL,2018,22.6,16163,5.3,12500,12850,11513,21500,PL,2018,4.8,43.5,PL,2018,77.7,62.4,PL,2018,189794,214083,PL,2018,4.5,8.6,18.2,14.8,PL,2018,9574.65,71.4,4.43,9.7
PL,2019,0.67,16.89,0.54,PL,2019,22.3,17041,4.5,13070,13889,12335,22800,PL,2019,5.2,43.5,PL,2019,78,62.5,PL,2019,180594,226649,PL,2019,3.5,7.9,17.9,15.4,PL,2019,10225.78,72.3,4.52,9.7
PT,2015,1.01,4.52,0.96,PT,2015,19.4,16570,20.6,16620,12226,10317,21300,PT,2015,13.7,33.1,PT,2015,81.3,56.5,PT,2015,40377,29896,PT,2015,10.9,4.7,26.4,19.5,PT,2015,12441.12,67.9,6.35,10.9
PT,2016,0.78,5.04,0.64,PT,2016,19.4,16950,17,17010,12994,10805,22000,PT,2016,14,35.0,PT,2016,81.3,58.6,PT,2016,38273,29925,PT,2016,9.1,4.9,24.9,19,PT,2016,12724.81,69.5,6.02,10.9
PT,2017,0.69,5.66,0.74,PT,2017,19.9,17256,15.2,17650,12964,10826,22700,PT,2017,12.6,34.0,PT,2017,81.6,58.5,PT,2017,31753,36639,PT,2017,8,4,23.4,18.3,PT,2017,13040.67,72.5,5.88,10.8
PT,2018,0.76,5.63,0.79,PT,2018,20.5,18168,13.3,18190,12785,10801,23700,PT,2018,11.8,35.1,PT,2018,81.5,58.6,PT,2018,31600,43170,PT,2018,6.6,4.1,21.6,17.3,PT,2018,13662.54,74.7,5.22,9.7
PT,2019,0.85,6.43,0.71,PT,2019,20.7,18852,11.1,18670,13642,11602,24600,PT,2019,10.6,37.4,PT,2019,81.9,59.2,PT,2019,28219,72725,PT,2019,5.6,4.1,21.1,17.2,PT,2019,14202.25,75.5,5.14,10.8
PT,2020,0.8,5.59,0.79,PT,2020,21,18469,9,17100,14498,12333,22900,PT,2020,8.9,41.9,PT,2020,81.1,59.7,PT,2020,25886,67160,PT,2020,5.4,3.9,20,16.2,PT,2020,14384.35,74.2,4.99,9.5
SE,2015,0.99,47.66,1.15,SE,2015,22.9,23247,3.2,42580,21677,20154,35300,SE,2015,7,46.5,SE,2015,82.2,72.7,SE,2015,55830,134240,SE,2015,1.1,2.6,18.2,16.3,SE,2015,33389.85,79.9,4.25,8
SE,2016,0.94,50.34,1.08,SE,2016,22.6,23303,3.1,42920,22772,20955,35000,SE,2016,7.4,47.3,SE,2016,82.4,73.2,SE,2016,45878,163005,SE,2016,0.7,2.7,17.7,16.2,SE,2016,33711.94,80.6,4.34,6.7
SE,2017,1.06,46.87,1.13,SE,2017,22.5,23510,2.9,43430,22242,20237,35700,SE,2017,7.7,47.4,SE,2017,82.5,72.6,SE,2017,45620,144489,SE,2017,1,2.5,17.2,15.8,SE,2017,33923.05,81.2,4.4,6.9
SE,2018,1.03,46.53,1.07,SE,2018,22.8,23832,3.5,43760,22143,20414,36300,SE,2018,7.5,47.6,SE,2018,82.6,72.8,SE,2018,46981,132602,SE,2018,1.4,2.9,17.7,16.4,SE,2018,32688.36,81.8,4.31,7
SE,2019,1.04,52.04,1.09,SE,2019,22.4,24225,3.3,44180,21983,20413,37200,SE,2019,6.5,48.4,SE,2019,83.2,73.3,SE,2019,47718,115805,SE,2019,1.5,2.6,18.4,17.1,SE,2019,32427.59,81.5,4.52,7.8
SE,2020,1.26,51.22,1.2,SE,2020,22.8,24126,3.6,42910,21666,20083,36900,SE,2020,7.7,49.2,SE,2020,82.4,72.7,SE,2020,48937,82518,SE,2020,2,2.5,17.7,16.1,SE,2020,33366.68,80.1,4.3,7.8
SI,2015,0.75,74.65,0.97,SI,2015,24.4,16000,9.1,17990,16180,15102,22700,SI,2015,5,40.8,SI,2015,80.9,58.1,SI,2015,14913,15420,SI,2015,4.8,5.6,17.7,14.3,SI,2015,12062.45,68.6,3.59,6.7
SI,2016,0.69,72.23,0.48,SI,2016,24.4,16555,8,18550,16320,15250,23600,SI,2016,4.9,43.0,SI,2016,81.2,58.3,SI,2016,15572,16623,SI,2016,4.1,4.5,16.9,13.9,SI,2016,12202.35,69.5,3.54,6.1
SI,2017,1.08,67.67,0.92,SI,2017,24.8,17367,6.5,19440,16289,15245,25100,SI,2017,4.3,44.5,SI,2017,81.2,55,SI,2017,17555,18808,SI,2017,4.5,4.4,16.6,13.3,SI,2017,12487.25,72.9,3.41,6.6
SI,2018,0.7,74.99,0.44,SI,2018,25,18230,5.6,20240,16823,15771,26500,SI,2018,4.2,40.7,SI,2018,81.5,55.5,SI,2018,13527,28455,SI,2018,3.2,4.8,15.4,13.3,SI,2018,12902.38,74.9,3.32,6
SI,2019,0.41,75.3,0.67,SI,2019,24.9,19047,4.1,20780,18016,16633,27800,SI,2019,4.6,44.1,SI,2019,81.6,60.9,SI,2019,15106,31319,SI,2019,2.2,3.9,13.7,12,SI,2019,13298.17,75.9,3.34,4.5
SI,2020,0.73,68.85,0.52,SI,2020,25,19823,4.7,19770,18209,16988,26900,SI,2020,4.1,45.4,SI,2020,80.6,65.1,SI,2020,17745,36110,SI,2020,2.6,3.1,14.3,12.4,SI,2020,13896.79,74.8,3.28,5
SK,2015,0.84,34.35,0.89,SK,2015,24.8,14961,11.7,14340,10755,10220,21600,SK,2015,6.9,31.3,SK,2015,76.7,54.9,SK,2015,3870,6997,SK,2015,8.4,4.2,17.3,12.3,SK,2015,8426.75,69.6,3.78,6
SK,2016,0.74,30.08,1.11,SK,2016,24.5,14107,10.1,14590,11129,10466,20700,SK,2016,7.4,33.4,SK,2016,77.3,56.7,SK,2016,3801,7686,SK,2016,7.6,4.3,17.1,12.7,SK,2016,8654.34,71.8,3.9,6.5
SK,2017,0.48,29.79,1.47,SK,2017,25,14111,8.1,15000,10017,9605,20700,SK,2017,9.3,35.1,SK,2017,77.3,55.6,SK,2017,3466,7188,SK,2017,6.3,5.2,15.8,12.4,SK,2017,8961.03,73.2,3.72,6.3
SK,2018,0.58,29.34,1.23,SK,2018,26.2,14781,8.4,15580,10277,9744,21300,SK,2018,8.6,37.2,SK,2018,77.4,56.1,SK,2018,3298,7253,SK,2018,5.4,3.7,15.2,12.2,SK,2018,9464.61,74.5,3.18,6
SK,2019,0.58,28.02,1.39,SK,2019,25.1,15518,9.4,15960,11026,10503,22100,SK,2019,8.3,39.2,SK,2019,77.8,56.2,SK,2019,3384,7016,SK,2019,5.9,3.6,14.8,11.9,SK,2019,9975.02,75.6,3.52,4.4
SK,2020,0.59,23.29,1.15,SK,2020,26.1,15591,8.6,15400,10423,10076,22400,SK,2020,7.6,39.0,SK,2020,77,56.7,SK,2020,2428,6775,SK,2020,4.5,3.2,13.8,11.4,SK,2020,10250.84,74.6,3.16,5.2
