country,year,deprivation_percentage,house_deprivation_percentage,poverty_risk_percentage,risk_after_social_transfer_percentage,employment_rate,income_inequality_ratio,work_poverty_risk_percentage,early_leavers_percentage,bottom_40_income_share,inability_make_ends_meet_percentage,mean_income,median_income,death_rate,homicide_rate_per_100k
EL,2019,15.8,6,29,17.9,60.8,5.59,10.2,4.1,20.7,37.7,11179,9765,0.8,0.71
EL,2020,14.9,5.8,27.4,17.7,58.3,5.68,10.1,3.8,20.5,36.1,11635,10175,0.74,0.68
ES,2015,7.4,1.5,28.7,22.1,62,7.63,13.1,20,18.2,14.8,16691,14463,0.58,0.65
ES,2016,8.5,1.7,28.8,22.3,63.9,7.25,13.1,19,18.4,16.6,17771,15347,0.57,0.63
ES,2017,8.3,1,27.5,21.6,65.5,7.18,13.1,18.3,18.5,9.5,17917,15526,0.64,0.66
ES,2018,8.7,1.5,27.3,21.5,67,6.46,12.9,17.9,19.1,10.4,18363,16030,0.55,0.62
ES,2019,7.7,1.7,26.2,20.7,68,6.35,12.7,17.3,19.3,7.8,18618,16171,0.58,0.71
ES,2020,8.5,3.4,27,21,65.7,5.99,11.8,16,19.5,10,18813,16661,0.59,0.63
FI,2015,1,0.7,16.9,12.4,71.8,3.63,3.5,9.2,24.2,2.5,21455,19430,1.31,2.12
FI,2016,1.2,0.7,16.5,11.6,72.4,3.68,3.1,7.9,24.2,2.3,22304,19997,1.17,1.75
FI,2017,1.8,0.7,16,11.5,73.2,3.64,2.7,8.2,24.4,2.3,22061,19827,1.11,1.34
FI,2018,2.2,0.9,16.6,12,75.3,3.78,3.1,8.3,24,2.3,22371,20048,1.22,1.72
FI,2019,1.9,0.9,14.5,11.6,76.2,3.8,2.9,7.3,23.8,2.1,22965,20362,1.15,1.5
FI,2020,1.8,1,14.9,12.2,75.5,3.83,3.1,8.2,23.7,2.5,22831,20290,1.31,1.72
FR,2015,6.8,2.3,18.4,13.6,70.3,4.22,7.5,9.2,22.6,4.6,23196,19885,0.51,1.32
FR,2016,6.7,2.7,18.7,13.6,70.7,4.27,7.9,8.8,22.6,4.2,24006,20621,0.47,1.17
FR,2017,6.3,2.1,17.8,13.2,71.3,4.34,7.3,8.8,22.7,4.1,23441,20357,0.43,1.06
FR,2018,6.7,2.7,17.9,13.4,72,4.25,7.1,8.7,22.9,4.5,23097,20223,0.67,1.04
FR,2019,7.3,2.3,18.8,13.6,72.3,4.31,7.4,8.2,22.7,3.7,23782,20471,0.73,1.12
FR,2020,7,3.8,19.3,14.2,72.1,4.65,7.4,8,22.3,6.5,22374,19518,0.73,1.03
HR,2015,8.4,7.3,24.4,20,60.6,5.21,5.9,2.8,20.3,22.7,9186,8253,0.9,0.88
HR,2016,7.3,7.1,23.5,19.5,61.4,5,5.6,2.8,20.9,20.4,9944,8985,1.23,1.05
HR,2017,7.1,6.5,23.7,20,63.6,5,5.8,3.1,20.8,15.5,10418,9444,1.21,1.11
HR,2018,6.1,6.2,22.1,19.3,65.2,4.94,5.2,3.3,20.9,14.1,10926,9870,0.56,0.58
HR,2019,4.6,5.9,20.8,18.3,66.7,4.68,5.1,3,21.3,11.9,11884,10734,0.83,0.81
HR,2020,4.4,5.1,20.5,18.3,66.9,4.42,5.1,2.2,21.8,11.1,12145,11090,0.97,0.99
HU,2015,24.1,15.5,30.6,14.9,70.9,4.57,9.3,11.6,22.4,19.1,8978,7919,1.27,2.05
HU,2016,20.6,16.9,28.6,14.5,73.7,4.52,9.6,12.4,22.5,17.1,9356,8267,0.97,0.93
HU,2017,16.1,15.9,25.9,13.4,75.4,4.42,10.2,12.5,22.5,15.7,9334,8332,0.82,0.87
HU,2018,11.9,7.5,20.6,12.8,76.7,4.59,8.4,12.5,22.4,12.1,9712,8603,1.02,0.85
HU,2019,10.9,7.8,20,12.3,77.6,4.51,8.4,11.8,22.7,8.6,10505,9360,0.81,0.59
HU,2020,10.7,7.6,19.4,12.3,77.5,4.19,7.8,12.1,22.6,10.7,10896,9699,0.92,0.79
IE,2015,9.4,1.2,25.4,16.2,69.8,4.58,4.9,6.8,21.6,14.9,20216,17656,0.46,0.64
IE,2016,8,1,23.8,16.8,71.3,4.56,5.1,6,21.6,12.2,20880,18397,0.52,0.72
IE,2017,6.9,0.7,22.4,15.6,72.9,4.76,5.1,5,21.3,8.7,21481,18198,0.36,0.82
IE,2018,6.1,0.8,20.8,14.9,74,4.32,4.8,5,22.3,7.2,22362,19464,0.45,0.81
IE,2019,7.1,1.1,20.4,13.1,75,4.05,4.3,5.1,22.8,7.5,22994,19775,0.28,0.67
IE,2020,5.7,1.4,20.1,13.8,72.1,4.06,6,5,22.7,6.1,22625,19714,0.15,0.66
IT,2015,12.1,9.6,28.4,19.9,60.2,6.32,11.5,14.7,19.7,15.4,17380,15395,0.57,0.77
IT,2016,10.1,7.6,27.8,20.6,61.4,6.85,11.7,13.8,19.1,10.9,18275,16237,0.51,0.67
IT,2017,6.6,5.5,25.9,20.3,62.3,6.34,12.2,14,19.5,8.6,18691,16522,0.48,0.62
IT,2018,6.5,5,25.7,20.3,63,6.55,12.2,14.5,19.3,9.7,19061,16715,0.46,0.59
IT,2019,6.4,5,24.6,20.1,63.5,6.35,11.8,13.5,19.5,8.2,19452,17099,0.38,0.53
IT,2020,6.2,6.1,24.9,20,61.9,5.97,10.8,13.1,19.7,9,20106,17764,0.35,0.48
LT,2015,14.6,8.9,29.4,22.2,73.3,8.52,9.9,5.5,17.3,6.8,10445,8251,4.11,5.75
LT,2016,15.4,8.6,30,21.9,75.2,7.65,8.5,4.8,17.5,6.9,11666,9364,3.63,4.92
LT,2017,14.4,8.1,29.8,22.9,76,7.78,8.5,5.4,17.2,7.1,12092,9819,2.84,3.97
LT,2018,12,6.9,28.5,22.9,77.8,7.41,8.1,4.6,17.5,5.5,13060,10702,2.56,3.45
