DATAFLOW,LAST UPDATE,freq,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CZ,2017,24531,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CZ,2018,39168,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CZ,2019,28090,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CZ,2020,27241,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CZ,2021,50730,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2013,433385,e
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2014,560672,e
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2015,1232644,e
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2016,496090,be
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2017,356409,be
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2018,353471,be
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2019,310022,be
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2020,240468,be
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2021,331205,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2013,17002,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2014,23962,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2015,33867,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2016,21729,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2017,12176,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2018,4288,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2019,-5136,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2020,3408,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2021,19481,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2013,-2631,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2014,-733,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2015,2410,be
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2016,1030,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2017,5258,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2018,7071,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2019,5458,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2020,3782,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EE,2021,7043,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2013,-59148,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2014,-47791,b
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2015,-44905,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2016,10332,b
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2017,8920,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2018,16440,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2019,34439,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2020,6384,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,EL,2021,-22476,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2013,-251531,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2014,-94976,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2015,-1761,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2016,87421,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2017,163272,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2018,334158,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2019,454232,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2020,219357,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,ES,2021,148070,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2013,18048,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2014,16021,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2015,12441,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2016,16823,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2017,14824,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2018,11965,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2019,15495,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2020,17814,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FI,2021,22905,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2013,98939,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2014,32280,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2015,39704,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2016,64087,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2017,154151,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2018,86490,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2019,86490,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2020,138440,e
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,FR,2021,159370,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2013,-4884,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2014,-10220,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2015,-17945,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2016,-22451,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2017,-31799,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2018,-13486,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2019,-2422,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2020,-632,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HR,2021,-4512,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2013,4277,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2014,12368,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2015,15119,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2016,13729,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2017,28241,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2018,34759,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2019,38786,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2020,8106,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,HU,2021,12472,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2013,-11021,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2014,2412,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2015,13632,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2016,23129,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2017,14431,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2018,43977,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2019,23626,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2020,18269,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IE,2021,28303,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2013,2034,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2014,1316,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2015,1589,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2016,4551,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2017,8475,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2018,7458,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2019,5282,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2020,2535,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IS,2021,4335,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2013,181719,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2014,141303,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2015,133123,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2016,143758,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2017,188330,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2018,175364,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2019,153273,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2020,87642,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,IT,2021,160054,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2013,199,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2014,139,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2015,189,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2016,85,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2017,219,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2018,165,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2019,281,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2020,281,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LI,2021,153,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2013,-16807,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2014,-12327,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2015,-22403,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2016,-30171,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2017,-27557,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2018,-3292,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2019,10794,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2020,19993,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LT,2021,19653,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LU,2013,10348,e
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LU,2014,11049,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LU,2015,11159,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LU,2016,9446,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LU,2017,10548,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LU,2018,10659,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,LU,2019,11075,
