country,year,immigration
EL,1995,98989
EL,1996,95585
EL,1997,113477
EL,1998,116411
EL,1999,84695
EL,2000,109251
EL,2001,98471
EL,2002,67220
EL,2003,63141
EL,2004,66871
EL,2005,70933
EL,2006,63094
EL,2007,63298
EL,2008,66529
EL,2009,58613
EL,2010,60462
EL,2011,60089
EL,2012,58200
EL,2013,57946
EL,2014,59013
EL,2015,64446
EL,2016,116867
EL,2017,112247
EL,2018,119489
EL,2019,129459
EL,2020,84221
EL,2021,57120
ES,1990,33966
ES,1991,24320
ES,1992,38882
ES,1993,33026
ES,1994,34123
ES,1995,36092
ES,1996,29895
ES,1997,57877
ES,1998,81227
ES,1999,127365
ES,2000,362468
ES,2001,414772
ES,2002,483260
ES,2003,470010
ES,2004,684561
ES,2005,719284
ES,2006,840844
ES,2007,958266
ES,2008,599075
ES,2009,392962
ES,2010,360705
ES,2011,371331
ES,2012,304053
ES,2013,280772
ES,2014,305454
ES,2015,342114
ES,2016,414746
ES,2017,532132
ES,2018,643684
ES,2019,750480
ES,2020,467918
ES,2021,528856
FI,1990,13558
FI,1991,19001
FI,1992,14554
FI,1993,14795
FI,1994,11611
FI,1995,12222
FI,1996,13294
FI,1997,13564
FI,1998,14192
FI,1999,14744
FI,2000,16895
FI,2001,18955
FI,2002,18113
FI,2003,17838
FI,2004,20333
FI,2005,21355
FI,2006,22451
FI,2007,26029
FI,2008,29114
FI,2009,26699
FI,2010,25636
FI,2011,29481
FI,2012,31278
FI,2013,31941
FI,2014,31507
FI,2015,28746
FI,2016,34905
FI,2017,31797
FI,2018,31106
FI,2019,32758
FI,2020,32898
FI,2021,36364
FR,2006,301544
FR,2007,293980
FR,2008,296608
FR,2009,296970
FR,2010,307111
FR,2011,319816
FR,2012,327431
FR,2013,338752
FR,2014,340383
FR,2015,364221
FR,2016,377709
FR,2017,369621
FR,2018,387158
FR,2019,385591
FR,2020,283237
FR,2021,336398
HR,1991,10050
HR,1992,48324
HR,1993,57702
HR,1994,33426
HR,1995,42026
HR,1996,44596
HR,1997,52343
HR,1998,51784
HR,1999,32910
HR,2001,24415
HR,2002,20365
HR,2003,18455
HR,2004,18383
HR,2006,14978
HR,2007,14622
HR,2008,16883
HR,2009,13213
HR,2010,8846
HR,2011,8534
HR,2012,8959
HR,2013,10378
HR,2014,10638
HR,2015,11706
HR,2016,13985
HR,2017,15553
HR,2018,26029
HR,2019,37726
HR,2020,33414
HR,2021,35912
HU,1995,15435
HU,1996,14984
HU,1997,14442
HU,1998,17269
HU,1999,21422
HU,2000,21726
HU,2001,22079
HU,2002,19855
HU,2003,21327
HU,2004,24298
HU,2005,27820
HU,2006,25732
HU,2007,24361
HU,2008,37652
HU,2009,27894
HU,2010,25519
HU,2011,28018
HU,2012,33702
HU,2013,38968
HU,2014,54581
HU,2015,58344
HU,2016,53618
HU,2017,68070
HU,2018,82937
HU,2019,88581
HU,2020,75470
HU,2021,80471
IE,1990,33000
IE,1991,33000
IE,1992,41000
IE,1993,35000
IE,1994,30000
IE,1995,38000
IE,1996,39000
IE,1997,45625
IE,1998,48175
IE,1999,51675
IE,2000,57400
IE,2001,64925
IE,2002,61725
IE,2003,58875
IE,2004,78075
IE,2005,102000
IE,2006,139434
IE,2007,122415
IE,2008,82592
IE,2009,50604
IE,2010,52339
IE,2011,57292
IE,2012,61324
IE,2013,65539
IE,2014,73519
IE,2015,80792
IE,2016,85185
IE,2017,78499
IE,2018,97712
IE,2019,85630
IE,2020,74211
IE,2021,80732
IS,1990,3166
IS,1991,3989
IS,1992,2959
IS,1993,2698
IS,1994,2676
IS,1995,2867
IS,1996,3664
IS,1997,3990
IS,1998,4562
IS,1999,4785
IS,2000,5203
IS,2001,5002
IS,2002,4215
IS,2003,3704
IS,2004,5350
IS,2005,7773
IS,2006,9832
IS,2007,12546
IS,2008,10288
IS,2009,3921
IS,2010,3948
IS,2011,4073
IS,2012,4960
IS,2013,6406
IS,2014,5368
IS,2015,5635
IS,2016,8710
IS,2017,12116
IS,2018,11830
IS,2019,9872
IS,2020,8544
IS,2021,8996
IT,1990,166754
IT,1991,126935
IT,1992,113916
IT,1993,100401
IT,1994,99105
IT,1995,96710
IT,1996,171967
IT,1997,162857
IT,1998,156885
IT,1999,185052
IT,2000,226968
IT,2001,208252
IT,2002,213202
IT,2003,440301
IT,2004,414880
IT,2005,304960
IT,2006,279714
IT,2007,527123
IT,2008,534712
IT,2009,442940
IT,2010,458856
IT,2011,385793
IT,2012,350772
IT,2013,307454
IT,2014,277631
IT,2015,280078
IT,2016,300823
IT,2017,343440
IT,2018,332324
IT,2019,332778
IT,2020,247526
IT,2021,318366
LI,2008,578
LI,2009,584
LI,2010,591
LI,2011,650
LI,2012,671
LI,2013,696
LI,2014,615
LI,2015,657
LI,2016,607
LI,2017,645
LI,2018,649
LI,2019,727
LI,2020,713
LI,2021,669
LT,1990,14744
LT,1991,11828
LT,1992,6640
LT,1993,2850
LT,1994,1664
LT,1995,2020
LT,1996,3025
LT,1997,2536
LT,1998,2706
LT,1999,2679
LT,2000,1510
LT,2001,4694
LT,2002,5110
LT,2003,4728
LT,2004,5553
LT,2005,6789
LT,2006,7745
LT,2007,8609
LT,2008,9297
LT,2009,6487
LT,2010,5213
LT,2011,15685
LT,2012,19843
LT,2013,22011
LT,2014,24294
LT,2015,22130
LT,2016,20162
LT,2017,20368
LT,2018,28914
LT,2019,40067
LT,2020,43096
LT,2021,44858
LU,1990,10281
LU,1991,10913
LU,1992,10697
LU,1993,10069
LU,1994,10145
LU,1995,10337
LU,1996,10027
LU,1997,10423
LU,1998,11630
LU,1999,12794
LU,2000,11765
LU,2001,12135
LU,2002,12101
LU,2003,13158
LU,2004,12872
LU,2005,14397
LU,2006,14352
LU,2007,16675
LU,2008,17758
LU,2009,15751
LU,2010,16962
LU,2011,20268
LU,2012,20478
LU,2013,21098
LU,2014,22332
LU,2015,23803
LU,2016,22888
LU,2017,24379
LU,2018,24644
LU,2019,26668
LU,2020,22490
LU,2021,25335
LV,1991,14684
LV,1992,6199
LV,1993,4114
LV,1994,3046
LV,1995,2799
LV,1996,2747
LV,1997,2913
LV,1998,3123
LV,1999,1813
LV,2000,6483
LV,2001,5376
LV,2002,6642
LV,2003,4063
LV,2004,4844
LV,2005,6691
LV,2006,8212
LV,2007,7517
LV,2008,4678
LV,2009,3731
LV,2010,4011
LV,2011,10234
LV,2012,13303
LV,2013,8299
LV,2014,10365
LV,2015,9479
LV,2016,8345
LV,2017,9916
LV,2018,10909
LV,2019,11223
LV,2020,8840
LV,2021,12689
ME,2010,5749
ME,2011,6025
ME,2012,5727
ME,2013,5112
ME,2014,5353
ME,2015,4553
ME,2016,4904
ME,2017,6684
ME,2018,8643
ME,2019,10737
ME,2020,6008
MK,2008,1052
MK,2009,857
MK,2010,1359
MK,2011,1464
MK,2012,1715
MK,2013,2050
MK,2014,1935
MK,2015,1741
MK,2016,2262
MK,2017,2064
MK,2018,2053
MK,2019,2118
MK,2020,2555
MK,2021,1570
MT,2005,2075
MT,2006,3889
MT,2007,5292
MT,2008,6043
MT,2009,6161
MT,2010,4275
MT,2011,5465
MT,2012,8256
MT,2013,10897
MT,2014,14454
MT,2015,16936
MT,2016,17051
MT,2017,21676
MT,2018,26444
MT,2019,28341
MT,2020,13885
MT,2021,18148
NL,1990,117350
NL,1991,120249
NL,1992,116926
NL,1993,119154
NL,1994,92143
NL,1995,96099
NL,1996,108749
NL,1997,109860
NL,1998,122407
NL,1999,119151
NL,2000,132850
NL,2001,133404
NL,2002,121250
NL,2003,104514
NL,2004,94019
NL,2005,92297
NL,2006,101150
NL,2007,116819
NL,2008,143516
NL,2009,122917
NL,2010,126776
NL,2011,130118
NL,2012,124566
NL,2013,129428
NL,2014,145323
NL,2015,166872
NL,2016,189232
NL,2017,189646
NL,2018,194306
NL,2019,215756
NL,2020,182244
NL,2021,214105
NO,1990,25494
NO,1991,26283
NO,1992,26743
NO,1993,31711
NO,1994,26911
NO,1995,25678
NO,1997,31957
NO,1998,36704
NO,1999,41841
NO,2000,36542
NO,2001,34264
NO,2002,40122
NO,2003,35957
NO,2004,36482
NO,2005,40148
NO,2006,45776
NO,2007,61774
NO,2008,58123
NO,2009,55953
NO,2010,69214
NO,2011,70337
NO,2012,69908
NO,2013,68313
NO,2014,66903
NO,2015,60816
NO,2016,61460
NO,2017,53351
NO,2018,47864
NO,2019,48680
NO,2020,36287
NO,2021,53947
PL,1990,2626
PL,1991,5040
PL,1992,6512
PL,1993,5924
PL,1994,6907
PL,1995,8121
PL,1996,8186
PL,1997,8426
PL,1998,8916
PL,1999,7525
PL,2000,7331
PL,2001,6625
PL,2002,6587
PL,2003,7048
PL,2004,9495
PL,2005,9364
PL,2006,10802
PL,2007,14995
PL,2008,15275
PL,2009,189166
PL,2010,155131
PL,2011,157059
PL,2012,217546
PL,2013,220311
PL,2014,222275
PL,2015,218147
PL,2016,208302
PL,2017,209353
PL,2018,214083
PL,2019,226649
PL,2020,210615
PL,2021,241116
PT,1991,4507
PT,1992,16202
PT,1993,27989
PT,1994,38825
PT,1995,42702
PT,1996,51656
PT,1997,59875
PT,1998,56788
PT,1999,68297
PT,2000,77775
PT,2001,61609
PT,2002,50611
PT,2003,31425
PT,2004,21093
PT,2005,21741
PT,2006,22741
PT,2007,29661
PT,2008,29718
PT,2009,32307
PT,2010,27575
PT,2011,19667
PT,2012,14606
PT,2013,17554
PT,2014,19516
PT,2015,29896
PT,2016,29925
PT,2017,36639
PT,2018,43170
PT,2019,72725
PT,2020,67160
PT,2021,50721
RO,2008,138929
RO,2009,135844
RO,2010,149885
RO,2011,147685
RO,2012,167266
RO,2013,153646
RO,2014,136035
RO,2015,132795
RO,2016,137455
RO,2017,177435
RO,2018,172578
RO,2019,202422
RO,2020,145519
RO,2021,194642
SE,1990,60048
SE,1991,49731
SE,1992,45348
SE,1993,61872
SE,1994,83598
SE,1995,45887
SE,1996,39895
SE,1997,44818
SE,1998,49391
SE,1999,49839
SE,2000,58659
SE,2001,60795
SE,2002,64087
SE,2003,63795
SE,2004,62028
SE,2005,65229
SE,2006,95750
SE,2007,99485
SE,2008,101171
SE,2009,102280
SE,2010,98801
SE,2011,96467
SE,2012,103059
SE,2013,115845
SE,2014,126966
SE,2015,134240
SE,2016,163005
SE,2017,144489
SE,2018,132602
SE,2019,115805
SE,2020,82518
SE,2021,90631
SI,1990,7075
SI,1991,5989
SI,1992,3461
SI,1993,2745
SI,1994,1919
SI,1995,5879
SI,1996,9495
SI,1997,7889
SI,1998,4603
SI,1999,4941
SI,2000,6185
SI,2001,7803
SI,2002,9134
SI,2003,9279
SI,2004,10171
SI,2005,15041
SI,2006,20016
SI,2007,29193
SI,2008,30693
SI,2009,30296
SI,2010,15416
SI,2011,14083
SI,2012,15022
SI,2013,13871
SI,2014,13846
SI,2015,15420
SI,2016,16623
SI,2017,18808
SI,2018,28455
SI,2019,31319
SI,2020,36110
SI,2021,23624
SK,1990,944
SK,1991,1752
SK,1992,2106
SK,1993,9106
SK,1994,4922
SK,1995,3055
SK,1996,2477
SK,1997,2303
SK,1998,2052
SK,1999,2072
SK,2000,2274
SK,2001,2023
SK,2002,2312
SK,2003,2603
SK,2004,4460
SK,2005,5276
SK,2006,5589
SK,2007,8624
SK,2008,8765
SK,2009,6346
SK,2010,5272
SK,2011,4829
SK,2012,5419
SK,2013,5149
SK,2014,5357
SK,2015,6997
SK,2016,7686
SK,2017,7188
SK,2018,7253
SK,2019,7016
SK,2020,6775
SK,2021,5733
UK,1998,332390
UK,1999,354077
UK,2000,364367
UK,2001,372206
UK,2002,385901
UK,2003,431487
UK,2004,518097
UK,2006,529008
UK,2007,526714
UK,2008,590242
UK,2009,566514
UK,2010,590950
UK,2011,566044
UK,2012,498040
UK,2013,526046
UK,2014,631991
UK,2015,631452
UK,2016,588993
UK,2017,644209
UK,2018,603953
UK,2019,680906
