country,year,emigration
EL,2012,124694
EL,2013,117094
EL,2014,106804
EL,2015,109351
EL,2016,106535
EL,2017,103327
EL,2018,103049
EL,2019,95020
EL,2020,77837
EL,2021,79596
ES,2002,36605
ES,2003,25959
ES,2004,55092
ES,2005,68011
ES,2006,142296
ES,2007,227065
ES,2008,288432
ES,2009,380121
ES,2010,403377
ES,2011,409034
ES,2012,446606
ES,2013,532303
ES,2014,400430
ES,2015,343875
ES,2016,327325
ES,2017,368860
ES,2018,309526
ES,2019,296248
ES,2020,248561
ES,2021,380786
FI,1990,6477
FI,1991,5984
FI,1992,6055
FI,1993,6405
FI,1994,8672
FI,1995,8957
FI,1996,10587
FI,1997,9854
FI,1998,10817
FI,1999,11966
FI,2000,14311
FI,2001,13153
FI,2002,12891
FI,2003,12083
FI,2004,13656
FI,2005,12369
FI,2006,12107
FI,2007,12443
FI,2008,13657
FI,2009,12151
FI,2010,11905
FI,2011,12660
FI,2012,13845
FI,2013,13893
FI,2014,15486
FI,2015,16305
FI,2016,18082
FI,2017,16973
FI,2018,19141
FI,2019,17263
FI,2020,15084
FI,2021,13459
FR,2006,189403
FR,2007,220354
FR,2008,239796
FR,2009,264631
FR,2010,269531
FR,2011,291594
FR,2012,255922
FR,2013,239813
FR,2014,308103
FR,2015,324517
FR,2016,313622
FR,2017,215470
FR,2018,300668
FR,2019,299101
FR,2020,144797
FR,2021,177028
HR,1991,8647
HR,1992,8859
HR,1993,9169
HR,1994,10163
HR,1995,15413
HR,1996,10027
HR,1997,18531
HR,1998,7310
HR,1999,14285
HR,2001,7488
HR,2002,11767
HR,2003,6534
HR,2004,6812
HR,2006,7692
HR,2007,9002
HR,2008,10638
HR,2009,12355
HR,2010,13017
HR,2011,12699
HR,2012,12877
HR,2013,15262
HR,2014,20858
HR,2015,29651
HR,2016,36436
HR,2017,47352
HR,2018,39515
HR,2019,40148
HR,2020,34046
HR,2021,40424
HU,1995,3173
HU,1996,3642
HU,1997,2822
HU,1998,3059
HU,1999,2821
HU,2000,2540
HU,2001,2591
HU,2002,3126
HU,2003,3122
HU,2004,3820
HU,2005,3658
HU,2006,4314
HU,2007,4500
HU,2008,9591
HU,2009,10483
HU,2010,13365
HU,2011,15100
HU,2012,22880
HU,2013,34691
HU,2014,42213
HU,2015,43225
HU,2016,39889
HU,2017,39829
HU,2018,48178
HU,2019,49795
HU,2020,67364
HU,2021,67999
IE,1990,40550
IE,1991,33875
IE,1992,34675
IE,1993,34875
IE,1994,33525
IE,1995,31675
IE,1996,26775
IE,1997,27775
IE,1998,30775
IE,1999,27825
IE,2000,26300
IE,2001,25750
IE,2002,28375
IE,2003,27200
IE,2004,28675
IE,2005,34350
IE,2006,44409
IE,2007,48040
IE,2008,65934
IE,2009,69672
IE,2010,78099
IE,2011,83049
IE,2012,81797
IE,2013,76560
IE,2014,71107
IE,2015,67160
IE,2016,62056
IE,2017,64068
IE,2018,53735
IE,2019,62004
IE,2020,55942
IE,2021,52429
IS,1990,3847
IS,1991,2982
IS,1992,3213
IS,1993,2901
IS,1994,3436
IS,1995,4285
IS,1996,4108
IS,1997,3921
IS,1998,3682
IS,1999,3663
IS,2000,3489
IS,2001,4034
IS,2002,4490
IS,2003,3837
IS,2004,4820
IS,2005,3913
IS,2006,4577
IS,2007,7414
IS,2008,9144
IS,2009,6874
IS,2010,5459
IS,2011,4812
IS,2012,4758
IS,2013,4372
IS,2014,4052
IS,2015,4046
IS,2016,4159
IS,2017,3641
IS,2018,4372
IS,2019,4590
IS,2020,6009
IS,2021,4661
IT,1990,55989
IT,1991,57730
IT,1992,56985
IT,1993,61282
IT,1994,65548
IT,1995,43303
IT,1996,47510
IT,1997,46273
IT,1998,45889
IT,1999,64873
IT,2000,56601
IT,2001,56077
IT,2002,41756
IT,2003,48706
IT,2004,49910
IT,2005,53931
IT,2006,58407
IT,2007,51113
IT,2008,80947
IT,2009,80597
IT,2010,78771
IT,2011,82461
IT,2012,106216
IT,2013,125735
IT,2014,136328
IT,2015,146955
IT,2016,157065
IT,2017,155110
IT,2018,156960
IT,2019,179505
IT,2020,159884
IT,2021,158312
LI,2008,490
LI,2009,455
LI,2010,428
LI,2011,467
LI,2012,439
LI,2013,497
LI,2014,476
LI,2015,468
LI,2016,522
LI,2017,426
LI,2018,484
LI,2019,446
LI,2020,432
LI,2021,516
LT,1990,23592
LT,1991,22503
LT,1992,31972
LT,1993,26840
LT,1994,25859
LT,1995,25688
LT,1996,26394
LT,1997,24957
LT,1998,24828
LT,1999,23418
LT,2000,21816
LT,2001,27841
LT,2002,16719
LT,2003,26283
LT,2004,37691
LT,2005,57885
LT,2006,32390
LT,2007,30383
LT,2008,25750
LT,2009,38500
LT,2010,83157
LT,2011,53863
LT,2012,41100
LT,2013,38818
LT,2014,36621
LT,2015,44533
LT,2016,50333
LT,2017,47925
LT,2018,32206
LT,2019,29273
LT,2020,23103
LT,2021,25205
LU,1990,6339
LU,1991,6740
LU,1992,6440
LU,1993,5826
LU,1994,6141
LU,1995,5715
LU,1996,6355
LU,1997,6591
LU,1998,7574
LU,1999,8075
LU,2000,8121
LU,2001,8824
LU,2002,9452
LU,2003,7746
LU,2004,8480
LU,2005,8287
LU,2006,9001
LU,2007,10674
LU,2008,10058
LU,2009,9168
LU,2010,9302
LU,2011,9264
LU,2012,10442
LU,2013,10750
LU,2014,11283
LU,2015,12644
LU,2016,13442
LU,2017,13831
LU,2018,13985
LU,2019,15593
LU,2020,14870
LU,2021,15959
LV,1991,29729
LV,1992,59673
LV,1993,36447
LV,1994,25869
LV,1995,16512
LV,1996,12828
LV,1997,12333
LV,1998,8874
LV,1999,5898
LV,2000,22911
LV,2001,24539
LV,2002,15837
LV,2003,15647
LV,2004,20167
LV,2005,17643
LV,2006,17019
LV,2007,15463
LV,2008,27045
LV,2009,38208
LV,2010,39651
LV,2011,30311
LV,2012,25163
LV,2013,22561
LV,2014,19017
LV,2015,20119
LV,2016,20574
LV,2017,17724
LV,2018,15814
LV,2019,14583
LV,2020,11990
LV,2021,12975
ME,2020,28
MK,2008,751
MK,2009,792
MK,2010,1007
MK,2011,1290
MK,2012,1415
MK,2013,1041
MK,2014,839
MK,2015,1016
MK,2016,630
MK,2017,424
MK,2018,377
MK,2020,1082
MK,2021,1412
MT,2006,3835
MT,2007,3730
MT,2008,3719
MT,2009,3868
MT,2010,4201
MT,2011,3806
MT,2012,4005
MT,2013,4778
MT,2014,5108
MT,2015,7095
MT,2016,8303
MT,2017,7020
MT,2018,9342
MT,2019,7998
MT,2020,12679
MT,2021,13509
NL,1990,57344
NL,1991,57328
NL,1992,58834
NL,1993,59222
NL,1994,53579
NL,1995,63321
NL,1996,65325
NL,1997,62220
NL,1998,60441
NL,1999,59023
NL,2000,61201
NL,2001,63318
NL,2002,66728
NL,2003,68885
NL,2004,75049
NL,2005,83399
NL,2006,91028
NL,2007,91287
NL,2008,90067
NL,2009,92825
NL,2010,95970
NL,2011,104201
NL,2012,110431
NL,2013,112625
NL,2014,112900
NL,2015,112330
NL,2016,111477
NL,2017,108231
NL,2018,109635
NL,2019,107906
NL,2020,102502
NL,2021,110342
NO,1990,23784
NO,1991,18238
NO,1992,16801
NO,1993,18903
NO,1994,19475
NO,1995,19311
NO,1997,21257
NO,1998,22881
NO,1999,22842
NO,2000,26854
NO,2001,26309
NO,2002,22948
NO,2003,24672
NO,2004,23271
NO,2005,21709
NO,2006,22053
NO,2007,22122
NO,2008,12976
NO,2009,17072
NO,2010,25835
NO,2011,20349
NO,2012,22693
NO,2013,26523
NO,2014,29308
NO,2015,29173
NO,2016,34694
NO,2017,31963
NO,2018,27158
NO,2019,23207
NO,2020,21447
NO,2021,34297
PL,1990,18440
PL,1991,20977
PL,1992,18115
PL,1993,21376
PL,1994,25904
PL,1995,26344
PL,1996,21297
PL,1997,20222
PL,1998,22177
PL,1999,21536
PL,2000,26999
PL,2001,23368
PL,2002,24532
PL,2003,20813
PL,2004,18877
PL,2005,22242
PL,2006,46936
PL,2007,35480
PL,2008,30140
PL,2009,229320
PL,2010,218126
PL,2011,265798
PL,2012,275603
PL,2013,276446
PL,2014,268299
PL,2015,258837
PL,2016,236441
PL,2017,218492
PL,2018,189794
PL,2019,180594
PL,2020,161666
PL,2021,201595
PT,1991,37336
PT,1992,25559
PT,1993,16566
PT,1994,14552
PT,1995,11290
PT,1996,14533
PT,1997,18468
PT,1998,11098
PT,1999,14040
PT,2000,10667
PT,2001,5396
PT,2002,8813
PT,2003,6687
PT,2004,6757
PT,2005,6360
PT,2006,5600
PT,2007,7890
PT,2008,20357
PT,2009,16899
PT,2010,23760
PT,2011,43998
PT,2012,51958
PT,2013,53786
PT,2014,49572
PT,2015,40377
PT,2016,38273
PT,2017,31753
PT,2018,31600
PT,2019,28219
PT,2020,25886
PT,2021,25079
RO,2008,302796
RO,2009,246626
RO,2010,197985
RO,2011,195551
RO,2012,170186
RO,2013,161755
RO,2014,172871
RO,2015,194718
RO,2016,207578
RO,2017,242193
RO,2018,231661
RO,2019,233736
RO,2020,186818
RO,2021,216861
SE,1990,25196
SE,1991,24745
SE,1992,25726
SE,1993,29874
SE,1994,32661
SE,1995,33984
SE,1996,33884
SE,1997,38543
SE,1998,38518
SE,1999,35705
SE,2000,34091
SE,2001,32141
SE,2002,33009
SE,2003,35023
SE,2004,36586
SE,2005,38118
SE,2006,44908
SE,2007,45418
SE,2008,45294
SE,2009,39240
SE,2010,48853
SE,2011,51179
SE,2012,51747
SE,2013,50715
SE,2014,51237
SE,2015,55830
SE,2016,45878
SE,2017,45620
SE,2018,46981
SE,2019,47718
SE,2020,48937
SE,2021,48284
SI,1990,4908
SI,1991,9060
SI,1992,3848
SI,1993,1390
SI,1994,983
SI,1995,3372
SI,1996,2985
SI,1997,5447
SI,1998,6708
SI,1999,2606
SI,2000,3570
SI,2001,4811
SI,2002,7269
SI,2003,5867
SI,2004,8269
SI,2005,8605
SI,2006,13749
SI,2007,14943
SI,2008,12109
SI,2009,18788
SI,2010,15937
SI,2011,12024
SI,2012,14378
SI,2013,13384
SI,2014,14336
SI,2015,14913
SI,2016,15572
SI,2017,17555
SI,2018,13527
SI,2019,15106
SI,2020,17745
SI,2021,21144
SK,1990,867
SK,1991,527
SK,1992,128
SK,1993,7355
SK,1994,154
SK,1995,213
SK,1996,222
SK,1997,572
SK,1998,746
SK,1999,618
SK,2000,811
SK,2001,1011
SK,2002,1411
SK,2003,1194
SK,2004,1586
SK,2005,1873
SK,2006,1735
SK,2007,1831
SK,2008,1705
SK,2009,1979
SK,2010,1889
SK,2011,1863
SK,2012,2003
SK,2013,2770
SK,2014,3644
SK,2015,3870
SK,2016,3801
SK,2017,3466
SK,2018,3298
SK,2019,3384
SK,2020,2428
SK,2021,3395
UA,2020,19121
UA,2021,22587
UK,1998,198934
UK,1999,245340
UK,2000,277563
UK,2001,251369
UK,2002,305931
UK,2003,313960
UK,2004,310389
UK,2005,328408
UK,2006,369470
UK,2007,317587
UK,2008,427207
UK,2009,368177
UK,2010,339306
UK,2011,350703
UK,2012,321217
UK,2013,316934
UK,2014,319086
UK,2015,299183
UK,2016,340440
UK,2017,359665
UK,2018,344347
UK,2019,368385
