country,year,bottom_40_income_share,disposable_income_per_capita,inability_make_ends_meet_percentage,gdp_per_capita,mean_income,median_income,purchasing_power
UK,2009,20.4,21217,6.8,29460,20056,16819,26500
UK,2010,20.1,21446,6.5,29830,19034,15869,27600
UK,2011,20.2,21406,7.3,29960,19138,15776,27700
UK,2012,20.9,21915,8,30190,19218,16447,28300
UK,2013,21.3,21879,9.6,30660,19422,16767,28800
UK,2014,20.6,22165,9.1,31290,19866,16896,29600
UK,2015,20.3,23091,6.4,31780,21160,17782,30600
UK,2016,20.7,22874,6.8,32060,20132,17296,30600
UK,2017,20.1,23157,6.2,32430,21690,18040,31600
UK,2018,19.7,23669,5.2,32640,22009,18423,31900
