DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,2016,23218,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,2017,22437,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,2018,22714,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,2019,23597,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,2020,24004,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,2021,24331,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,2022,26049,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2006,3659,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2007,3836,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2008,5842,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2009,6668,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2010,6824,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2011,6861,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2012,6528,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2013,7081,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2014,7970,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2015,8454,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2016,8253,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2017,9648,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2018,9336,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2019,11001,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2020,11112,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2021,12235,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BG,2022,12313,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2007,23875,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2008,25317,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2009,26258,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2010,25590,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2011,26377,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2012,27264,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2013,29300,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2014,29951,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2015,30517,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,CH,2016,31825,
