DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2009,7369,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2010,7726,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2011,8514,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2012,8590,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2013,8981,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2014,9361,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2015,9657,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2016,10088,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BG,2017,10508,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2000,20122,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2001,20932,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2002,21122,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2003,21122,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2004,21746,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2005,22611,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2006,23969,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2007,26107,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2008,27100,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2009,27080,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2010,26777,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2011,27161,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2012,27712,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,CH,2013,28524,
