DATAFLOW,LAST UPDATE,freq,unit,subjnmon,hhtyp,incgrp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2007,33.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2008,31.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2009,27.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2010,29.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2011,27.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2012,32.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2013,32.9,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2014,31.7,b
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2015,30.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2016,28.9,b
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2017,28.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2018,26.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2019,23.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2020,18.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2021,13.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2022,14.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,BG,2023,10.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2007,2.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2008,2.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2009,3.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2010,3.9,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2011,3.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2012,3.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2013,3.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2014,3.6,b
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2015,2.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2016,3.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2017,3.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2018,4.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2019,3.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2020,2.9,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2021,2.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CH,2022,2.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2005,14.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2006,18.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2007,17.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2008,21.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2009,20.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2010,23.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2011,26.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2012,22.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2013,32.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2014,32.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2015,32.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,CY,2016,29.4,
