DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,SE,1991,4345002.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,SE,2001,4490039.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,SI,2001,1005460.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,SK,2001,2766940.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,UK,1981,28260463.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,UK,1991,29122655.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,UK,2001,30209358.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,AT,1991,3753989.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,AT,2001,3889189.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,BE,1981,4810349.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,BE,1991,4875982.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,BE,2001,5035446.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,BG,2001,3862465.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,CH,1991,3390212.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,CH,2001,3567567.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,CY,2001,338497.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,CZ,2001,4982071.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,DE,1981,29483200.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,DE,1991,38499977.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,DE,2001,39560585.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,DK,1981,2528225.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,DK,1991,2536391.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,DK,2001,2644319.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,EE,2001,631851.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,EL,1981,4778818.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,EL,1991,5055408.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,EL,2001,5413426.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,ES,1981,18491741.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,ES,1991,19036446.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,ES,2001,20012882.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,FI,1991,2426204.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,FI,2001,2529341.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,FR,1981,27064420.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,FR,1991,28285388.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,FR,2001,29229514.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,HU,2001,4850650.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,IE,1981,1729354.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,IE,1991,1753452.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,IE,2001,1916223.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,IS,1991,128423.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,IS,2001,141870.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,IT,1981,27506354.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,IT,1991,27557963.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,IT,2001,27586982.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,LI,1991,14465.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,LI,2001,16420.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,LT,2001,1629148.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,LU,1981,177869.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,LU,1991,188570.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,LU,2001,216541.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,LV,2001,1094964.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,NL,1981,7051139.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,NL,1991,7451000.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,NL,2001,7909052.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,NO,1991,2099881.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,NO,2001,2240281.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,PL,2001,18516403.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,PT,1981,4737715.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,PT,1991,4754632.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,PT,2001,5000141.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,RO,2001,10568741.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,SE,1991,4242351.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,SE,2001,4392753.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,SI,2001,958576.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,SK,2001,2612515.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,UK,1981,26778407.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,UK,1991,27344025.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,M,UK,2001,28579855.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,AT,1991,7795786.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,AT,2001,8032926.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,BE,1981,9848647.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,BE,1991,9978681.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,BE,2001,10296350.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,BG,2001,7928901.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,CH,1991,6873687.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,CH,2001,7288010.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,CY,2001,689565.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,CZ,2001,10230060.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,DE,1981,61655400.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,DE,1991,79753227.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,DE,2001,81465344.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,DK,1981,5123989.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,DK,1991,5146469.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,DK,2001,5349212.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,EE,2001,1370052.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,EL,1981,9738136.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,EL,1991,10259900.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,EL,2001,10934097.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,ES,1981,37683363.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,ES,1991,38872268.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,ES,2001,40847371.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,FI,1991,4998478.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,FI,2001,5181115.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,FR,1981,55456457.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,FR,1991,58084275.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,FR,2001,60187205.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,HU,2001,10198315.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,IE,1981,3443405.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,IE,1991,3525719.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,IE,2001,3858495.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,IS,1991,255866.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,IS,2001,283361.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,IT,1981,56556911.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,IT,1991,56778031.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,IT,2001,56995744.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,LI,1991,29032.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,LI,2001,33307.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,LT,2001,3483972.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,LU,1981,364602.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,LU,1991,384634.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,LU,2001,439539.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,LV,2001,2377383.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,NL,1981,14216944.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,NL,1991,15072000.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,NL,2001,15985538.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,NO,1991,4247546.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,NO,2001,4520947.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,PL,2001,38230080.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,PT,1981,9833014.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,PT,1991,9862540.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,PT,2001,10356117.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,RO,2001,21680974.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,SE,1991,8587353.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,SE,2001,8882792.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,SI,2001,1964036.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,SK,2001,5379455.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,UK,1981,55038870.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,UK,1991,56466680.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,T,UK,2001,58789213.00,
