country,year,2021
AT,2021,4548003
BE,2021,5854293
BG,2021,3383527
CH,2021,4400588
CY,2021,471434
CZ,2021,5337619
DE,2021,42170339
DK,2021,2935188
EE,2021,698398
EL,2021,5356510
ES,2021,24152187
FI,2021,2799985
FR,2021,35035940
HR,2021,2006704
HU,2021,5044135
IS,2021,176067
IT,2021,30211177
LI,2021,19687
LT,2021,1505796
LU,2021,319586
LV,2021,1017998
MT,2021,249541
NL,2021,8788879
NO,2021,2672110
PL,2021,19106313
PT,2021,5422846
RO,2021,9808271
SE,2021,5191619
SI,2021,1049039
SK,2021,2783894
AT,2021,4416886
BE,2021,5700474
BG,2021,3136262
CH,2021,4338204
CY,2021,449553
CZ,2021,5186548
DE,2021,41066785
DK,2021,2904857
EE,2021,633426
EL,2021,5125977
ES,2021,23248611
FI,2021,2733808
FR,2021,32835985
HR,2021,1865129
HU,2021,4644875
IS,2021,183055
IT,2021,28818956
LI,2021,19368
LT,2021,1304965
LU,2021,324355
LV,2021,875225
MT,2021,270021
NL,2021,8686536
NO,2021,2719259
PL,2021,17913014
PT,2021,4920220
RO,2021,9245544
SE,2021,5260707
SI,2021,1059938
SK,2021,2665376
AT,2021,8964889
BE,2021,11554767
BG,2021,6519789
CH,2021,8738790
CY,2021,920987
CZ,2021,10524167
DE,2021,83237124
DK,2021,5840045
EE,2021,1331824
EL,2021,10482487
ES,2021,47400798
FI,2021,5533793
FR,2021,67871925
HR,2021,3871833
HU,2021,9689010
IE,2021,5105761
IS,2021,359122
IT,2021,59030133
LI,2021,39055
LT,2021,2810761
LU,2021,643941
LV,2021,1893223
MT,2021,519562
NL,2021,17475415
NO,2021,5391369
PL,2021,37019327
PT,2021,10343066
RO,2021,19053815
SE,2021,10452326
SI,2021,2108977
SK,2021,5449270
