DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,HU,2011,4718479,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,IE,2011,2270506,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,IS,2011,158147,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,IT,2011,28745507,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,LI,2011,17886,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,LT,2011,1402604,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,LU,2011,254967,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,LV,2011,946102,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,MT,2011,207625,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,NL,2011,8243482,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,NO,2011,2495779,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,PL,2011,18420389,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,PT,2011,5046600,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,RO,2011,9788577,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,SE,2011,4726834,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,SI,2011,1014563,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,SK,2011,2627772,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,UK,2011,31028145,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,AT,2011,8401940,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,BE,2011,11000638,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,BG,2011,7364570,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,CH,2011,7954662,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,CY,2011,840407,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,CZ,2011,10436560,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,DE,2011,80219695,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,DK,2011,5560628,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,EE,2011,1294455,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,EL,2011,10816286,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,ES,2011,46815910,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,FI,2011,5375276,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,FR,2011,64933400,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,HR,2011,4284889,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,HU,2011,9937628,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,IE,2011,4574888,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,IS,2011,315556,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,IT,2011,59433744,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,LI,2011,36149,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,LT,2011,3043429,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,LU,2011,512353,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,LV,2011,2070371,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,MT,2011,417432,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,NL,2011,16655799,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,NO,2011,4979954,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,PL,2011,38044565,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,PT,2011,10562178,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,RO,2011,20121641,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,SE,2011,9482855,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,SI,2011,2050189,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,SK,2011,5397036,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,T,NR,UK,2011,63182180,
