DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,AT,2011,4308002,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,BE,2011,5598920,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,BG,2011,3777999,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,CH,2011,4032409,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,CY,2011,431627,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,CZ,2011,5326794,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,DE,2011,41073754,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,DK,2011,2804046,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,EE,2011,693929,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,EL,2011,5513063,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,ES,2011,23711560,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,FI,2011,2736860,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,FR,2011,33500655,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,HR,2011,2218554,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,HU,2011,5219149,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,IE,2011,2304382,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,IS,2011,157409,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,IT,2011,30688237,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,LI,2011,18263,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,LT,2011,1640825,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,LU,2011,257386,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,LV,2011,1124269,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,MT,2011,209807,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,NL,2011,8412317,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,NO,2011,2484175,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,PL,2011,19624176,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,PT,2011,5515578,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,RO,2011,10333064,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,SE,2011,4756021,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,SI,2011,1035626,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,SK,2011,2769264,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,F,NR,UK,2011,32154035,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,AT,2011,4093938,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,BE,2011,5401718,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,BG,2011,3586571,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,CH,2011,3922253,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,CY,2011,408780,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,CZ,2011,5109766,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,DE,2011,39145941,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,DK,2011,2756582,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,EE,2011,600526,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,EL,2011,5303223,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,ES,2011,23104350,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,FI,2011,2638416,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,FR,2011,31432745,
ESTAT:CENS_11AG_R3(1.0),26/08/15 23:00:00,A,TOTAL,M,NR,HR,2011,2066335,
