country,year,work_poverty_risk_percentage
IT,2006,9.0
IT,2007,9.3
IT,2008,9.0
IT,2009,10.2
IT,2010,9.5
IT,2011,11.0
IT,2012,11.0
IT,2013,11.0
IT,2014,11.0
IT,2015,11.5
IT,2016,11.7
IT,2017,12.2
IT,2018,12.2
IT,2019,11.8
IT,2020,10.8
IT,2021,11.6
IT,2022,11.5
LT,2005,10.0
LT,2006,10.0
LT,2007,8.0
LT,2008,9.4
LT,2009,10.3
LT,2010,12.6
LT,2011,9.5
LT,2012,7.6
LT,2013,9.1
LT,2014,8.3
LT,2015,9.9
LT,2016,8.5
LT,2017,8.5
LT,2018,8.1
LT,2019,7.9
LT,2020,8.0
LT,2021,7.5
LT,2022,7.6
LU,2003,7.1
LU,2004,8.5
LU,2005,9.8
LU,2006,10.3
LU,2007,9.3
LU,2008,9.4
LU,2009,10.0
LU,2010,10.6
LU,2011,9.9
LU,2012,10.2
LU,2013,11.2
LU,2014,11.1
LU,2015,11.6
LU,2016,10.9
LU,2017,10.8
LU,2018,11.5
LU,2019,12.1
LU,2020,11.9
LU,2021,13.5
LU,2022,12.9
LV,2005,9.0
LV,2006,11.1
LV,2007,9.2
LV,2008,10.5
LV,2009,10.8
LV,2010,9.4
LV,2011,9.3
LV,2012,8.6
LV,2013,8.9
LV,2014,8.1
LV,2015,9.2
LV,2016,8.3
LV,2017,8.8
LV,2018,8.1
LV,2019,8.5
LV,2020,8.2
LV,2021,9.8
LV,2022,9.2
LV,2023,9.2
ME,2013,5.9
ME,2014,7.8
ME,2015,7.7
ME,2016,7.6
ME,2017,7.6
ME,2018,7.3
ME,2019,9.0
ME,2020,9.8
ME,2021,6.5
ME,2022,5.7
MK,2011,10.2
MK,2012,11.1
MK,2013,11.1
MK,2014,9.8
MK,2015,8.9
MK,2016,9.0
MK,2017,9.0
MK,2018,8.8
MK,2019,8.5
MK,2020,7.9
MT,2005,4.3
MT,2006,4.1
MT,2007,4.6
MT,2008,5.1
MT,2009,5.4
MT,2010,5.9
MT,2011,6.1
MT,2012,5.2
MT,2013,5.7
MT,2014,5.5
MT,2015,5.5
MT,2016,5.9
MT,2017,5.7
MT,2018,6.4
MT,2019,6.5
MT,2020,7.4
MT,2021,7.3
MT,2022,7.1
NL,2005,5.8
NL,2006,4.4
NL,2007,4.6
NL,2008,4.8
NL,2009,5.0
NL,2010,5.1
NL,2011,5.4
NL,2012,4.6
NL,2013,4.5
NL,2014,5.3
NL,2015,5.0
NL,2016,5.6
NL,2017,6.1
NL,2018,6.1
NL,2019,5.5
NL,2020,5.6
NL,2021,5.2
NL,2022,5.0
NO,2003,4.4
NO,2004,4.4
NO,2005,4.5
NO,2006,6.1
NO,2007,5.8
NO,2008,5.4
NO,2009,5.6
NO,2010,5.2
NO,2011,5.6
NO,2012,5.0
NO,2013,5.6
NO,2014,5.0
NO,2015,5.5
NO,2016,5.7
NO,2017,5.8
NO,2018,6.0
NO,2019,6.3
NO,2020,5.9
NO,2021,5.9
NO,2022,5.9
PL,2005,13.8
PL,2006,12.8
PL,2007,11.7
PL,2008,11.5
PL,2009,11.0
PL,2010,11.4
PL,2011,11.1
PL,2012,10.4
PL,2013,10.7
PL,2014,10.6
PL,2015,11.2
PL,2016,10.8
PL,2017,9.9
PL,2018,9.7
PL,2019,9.7
PL,2020,9.6
PL,2021,8.9
PL,2022,9.1
PT,2004,12.4
PT,2005,11.9
PT,2006,11.2
PT,2007,9.7
