DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2017,4.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2018,3.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2019,2.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2020,2.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2021,1.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2022,3.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2015,17.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2016,18.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2017,18.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2018,16.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2019,15.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2020,14.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2021,13.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2022,13.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2015,7.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2016,8.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2017,8.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2018,8.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2019,7.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2020,8.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2021,8.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2022,7.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2015,1.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2016,1.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2017,1.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2018,2.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2019,1.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2020,1.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2021,1.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2022,1.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2015,6.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2016,6.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2017,6.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2018,6.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2019,7.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2020,7.0,b
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2021,5.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2022,7.7,b
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2015,8.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2016,7.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2017,7.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2018,6.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2019,4.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2020,4.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2021,3.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2022,4.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2015,24.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2016,20.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2017,16.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2018,11.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2019,10.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2020,10.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2021,10.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2022,9.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2015,9.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2016,8.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2017,6.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2018,6.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2019,7.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2020,5.7,b
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2021,5.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2022,5.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2015,12.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2016,10.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2017,6.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2018,6.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2019,6.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2020,6.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2021,5.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2022,4.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2015,14.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2016,15.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2017,14.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2018,12.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2019,9.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2020,8.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2021,6.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2022,6.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2015,2.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2016,2.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LU,2017,1.9,
