DATAFLOW,LAST UPDATE,freq,sex,unit,indic_il,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BE,2018,16.4,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BE,2019,14.8,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BE,2020,14.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BE,2021,12.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BE,2022,13.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2000,14.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2001,16.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2002,14.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2006,18.4,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2007,22.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2008,21.4,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2009,21.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2010,20.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2011,22.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,BG,2012,21.2,
