DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2006,24.5,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2007,24.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2008,26.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2009,26.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2010,27.5,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2011,27.2,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2012,27.2,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2013,29.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2014,31.3,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2015,31.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2016,32.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2017,33.4,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2018,34.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2019,32.7,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2020,33.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2021,33.6,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,BG,2022,33.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,CH,2000,25.6,
