country,year,early_leavers_percentage,tertiary_attainment_percentage
AT,2000,10.2,
AT,2001,10.2,
AT,2002,9.5,
AT,2003,9,
AT,2004,9.8,20.1
AT,2005,9.3,19.7
AT,2006,10,19.0
AT,2007,10.8,18.7
AT,2008,10.2,19.2
AT,2009,8.8,21.0
AT,2010,8.3,20.7
AT,2011,8.5,20.9
AT,2012,7.8,22.8
AT,2013,7.5,24.9
AT,2014,7,38.4
AT,2015,7.3,38.6
AT,2016,6.9,39.7
AT,2017,7.4,40.3
AT,2018,7.3,40.5
AT,2019,7.8,41.6
AT,2020,8.1,41.4
AT,2021,8,42.4
AT,2022,8.4,43.1
BE,2000,13.8,36.0
BE,2001,13.8,37.5
BE,2002,14.1,37.6
BE,2003,14.3,38.9
BE,2004,13.1,40.7
BE,2005,12.9,40.6
BE,2006,12.6,41.9
BE,2007,12.1,41.3
BE,2008,12,42.3
BE,2009,11.1,42.5
BE,2010,11.9,43.8
BE,2011,12.3,42.5
BE,2012,12,43.0
BE,2013,11,42.7
BE,2014,9.8,44.2
BE,2015,10.1,43.1
BE,2016,8.8,44.3
BE,2017,8.9,45.7
BE,2018,8.6,47.4
BE,2019,8.4,47.3
BE,2020,8.1,48.5
BE,2021,6.7,50.9
BE,2022,6.4,51.4
BG,2001,20.5,23.0
BG,2002,20.7,23.1
BG,2003,21.9,23.6
BG,2004,21.4,24.3
BG,2005,20.4,23.7
BG,2006,17.3,24.5
BG,2007,14.9,24.9
BG,2008,14.8,26.0
BG,2009,14.7,26.9
BG,2010,12.6,27.5
BG,2011,11.8,27.2
BG,2012,12.5,27.2
BG,2013,12.5,29.6
BG,2014,12.9,31.3
BG,2015,13.4,31.8
BG,2016,13.8,32.8
BG,2017,12.7,33.4
BG,2018,12.7,34.0
BG,2019,13.9,32.7
BG,2020,12.8,33.0
BG,2021,12.2,33.6
BG,2022,10.5,33.8
CH,2000,7.3,25.6
CH,2001,6.6,25.6
CH,2002,6.7,26.7
CH,2003,9.7,29.2
CH,2004,9.5,30.4
CH,2005,9.7,31.0
CH,2006,9.6,32.2
CH,2007,7.6,35.0
CH,2008,7.7,38.5
CH,2009,9.1,40.0
CH,2010,6.7,37.4
CH,2011,6.3,38.0
CH,2012,5.5,39.3
CH,2013,5.6,41.9
CH,2014,5.6,44.2
CH,2015,5.2,46.5
CH,2016,4.9,48.8
CH,2017,4.5,50.1
CH,2018,4.4,51.2
CH,2019,4.4,52.7
CH,2020,4,53.0
CH,2021,4.9,52.3
CH,2022,6.3,51.3
CY,2000,18.5,32.7
CY,2001,17.9,36.2
CY,2002,15.9,41.0
CY,2003,17.3,43.9
CY,2004,20.6,42.7
CY,2005,18.2,41.3
CY,2006,14.9,44.6
CY,2007,12.5,47.0
CY,2008,13.7,48.0
CY,2009,11.7,47.8
CY,2010,12.7,48.1
CY,2011,11.3,50.5
CY,2012,11.4,53.6
CY,2013,9.1,51.4
CY,2014,6.8,54.0
CY,2015,5.2,54.7
CY,2016,7.6,56.2
CY,2017,8.5,57.0
CY,2018,7.8,58.5
CY,2019,9.2,60.3
CY,2020,11.5,57.8
CY,2021,10.2,58.3
CY,2022,8.1,59.2
CZ,2002,5.7,12.1
CZ,2003,6.5,12.1
CZ,2004,6.3,12.9
CZ,2005,6.2,14.2
CZ,2006,5.1,15.2
CZ,2007,5.2,15.5
CZ,2008,5.6,17.7
CZ,2009,5.4,20.2
CZ,2010,4.9,22.6
CZ,2011,4.9,25.1
CZ,2012,5.5,27.8
CZ,2013,5.4,29.2
CZ,2014,5.5,29.9
CZ,2015,6.2,31.0
CZ,2016,6.6,32.6
CZ,2017,6.7,33.8
CZ,2018,6.2,33.3
CZ,2019,6.7,32.6
CZ,2020,7.6,33.0
CZ,2021,6.4,34.9
CZ,2022,6.2,34.6
DE,2000,14.6,22.4
DE,2001,12.3,22.2
DE,2002,12.5,21.0
DE,2003,12.8,21.8
DE,2004,12.1,22.9
DE,2005,13.5,22.5
DE,2006,13.7,22.0
DE,2007,12.5,22.6
DE,2008,11.8,23.9
DE,2009,11.1,25.7
DE,2010,11.8,26.0
DE,2011,11.6,27.6
DE,2012,10.5,28.9
DE,2013,9.8,29.9
DE,2014,9.5,28.4
DE,2015,10.1,29.6
DE,2016,10.3,30.5
DE,2017,10.1,31.3
DE,2018,10.3,32.3
DE,2019,10.3,33.3
DE,2020,10.1,35.3
DE,2021,12.5,36.9
DE,2022,12.2,37.1
DK,2000,11.7,28.9
DK,2001,9.2,31.1
DK,2002,9,32.3
DK,2003,10.4,35.1
DK,2004,8.8,37.6
DK,2005,8.7,39.8
DK,2006,9.1,40.8
DK,2007,12.9,36.2
DK,2008,12.7,36.2
DK,2009,11.5,37.4
DK,2010,11.5,37.6
DK,2011,10.3,38.6
DK,2012,9.6,40.2
DK,2013,8.2,40.9
DK,2014,8.1,41.6
DK,2015,8.1,43.0
DK,2016,7.5,44.6
DK,2017,8.8,45.5
DK,2018,10.4,45.8
DK,2019,9.9,47.1
DK,2020,9.3,47.1
DK,2021,9.8,49.7
DK,2022,10,49.0
EE,2000,15.1,28.4
EE,2001,14.7,27.0
EE,2002,13.6,26.3
EE,2003,13.7,27.4
EE,2004,13.9,27.7
EE,2005,14,33.1
EE,2006,13.4,34.5
EE,2007,14.4,34.4
EE,2008,14,35.8
EE,2009,13.5,36.8
