country,year,early_leavers_percentage
AT,2000,10.2
AT,2001,10.2
AT,2002,9.5
AT,2003,9.0
AT,2004,9.8
AT,2005,9.3
AT,2006,10.0
AT,2007,10.8
AT,2008,10.2
AT,2009,8.8
AT,2010,8.3
AT,2011,8.5
AT,2012,7.8
AT,2013,7.5
AT,2014,7.0
AT,2015,7.3
AT,2016,6.9
AT,2017,7.4
AT,2018,7.3
AT,2019,7.8
AT,2020,8.1
AT,2021,8.0
AT,2022,8.4
BE,2000,13.8
BE,2001,13.8
BE,2002,14.1
BE,2003,14.3
BE,2004,13.1
BE,2005,12.9
BE,2006,12.6
BE,2007,12.1
BE,2008,12.0
BE,2009,11.1
BE,2010,11.9
BE,2011,12.3
BE,2012,12.0
BE,2013,11.0
BE,2014,9.8
BE,2015,10.1
BE,2016,8.8
BE,2017,8.9
BE,2018,8.6
BE,2019,8.4
BE,2020,8.1
BE,2021,6.7
BE,2022,6.4
BG,2001,20.5
BG,2002,20.7
BG,2003,21.9
BG,2004,21.4
BG,2005,20.4
BG,2006,17.3
BG,2007,14.9
BG,2008,14.8
BG,2009,14.7
BG,2010,12.6
BG,2011,11.8
BG,2012,12.5
BG,2013,12.5
BG,2014,12.9
BG,2015,13.4
BG,2016,13.8
BG,2017,12.7
BG,2018,12.7
BG,2019,13.9
BG,2020,12.8
BG,2021,12.2
BG,2022,10.5
CH,2000,7.3
CH,2001,6.6
CH,2002,6.7
CH,2003,9.7
CH,2004,9.5
CH,2005,9.7
CH,2006,9.6
CH,2007,7.6
CH,2008,7.7
CH,2009,9.1
CH,2010,6.7
CH,2011,6.3
CH,2012,5.5
CH,2013,5.6
CH,2014,5.6
CH,2015,5.2
CH,2016,4.9
CH,2017,4.5
CH,2018,4.4
CH,2019,4.4
CH,2020,4.0
CH,2021,4.9
CH,2022,6.3
CY,2000,18.5
CY,2001,17.9
CY,2002,15.9
CY,2003,17.3
CY,2004,20.6
CY,2005,18.2
CY,2006,14.9
CY,2007,12.5
CY,2008,13.7
CY,2009,11.7
CY,2010,12.7
CY,2011,11.3
CY,2012,11.4
CY,2013,9.1
CY,2014,6.8
CY,2015,5.2
CY,2016,7.6
CY,2017,8.5
CY,2018,7.8
CY,2019,9.2
CY,2020,11.5
CY,2021,10.2
CY,2022,8.1
CZ,2002,5.7
CZ,2003,6.5
CZ,2004,6.3
CZ,2005,6.2
CZ,2006,5.1
CZ,2007,5.2
CZ,2008,5.6
CZ,2009,5.4
CZ,2010,4.9
CZ,2011,4.9
CZ,2012,5.5
CZ,2013,5.4
CZ,2014,5.5
CZ,2015,6.2
CZ,2016,6.6
CZ,2017,6.7
CZ,2018,6.2
CZ,2019,6.7
CZ,2020,7.6
CZ,2021,6.4
CZ,2022,6.2
DE,2000,14.6
DE,2001,12.3
DE,2002,12.5
DE,2003,12.8
DE,2004,12.1
DE,2005,13.5
DE,2006,13.7
DE,2007,12.5
DE,2008,11.8
DE,2009,11.1
DE,2010,11.8
DE,2011,11.6
DE,2012,10.5
DE,2013,9.8
DE,2014,9.5
DE,2015,10.1
DE,2016,10.3
DE,2017,10.1
DE,2018,10.3
DE,2019,10.3
DE,2020,10.1
DE,2021,12.5
DE,2022,12.2
DK,2000,11.7
DK,2001,9.2
DK,2002,9.0
DK,2003,10.4
DK,2004,8.8
DK,2005,8.7
DK,2006,9.1
DK,2007,12.9
DK,2008,12.7
DK,2009,11.5
DK,2010,11.5
DK,2011,10.3
DK,2012,9.6
DK,2013,8.2
DK,2014,8.1
DK,2015,8.1
DK,2016,7.5
DK,2017,8.8
DK,2018,10.4
DK,2019,9.9
DK,2020,9.3
DK,2021,9.8
DK,2022,10.0
EE,2000,15.1
EE,2001,14.7
EE,2002,13.6
EE,2003,13.7
EE,2004,13.9
EE,2005,14.0
EE,2006,13.4
EE,2007,14.4
EE,2008,14.0
EE,2009,13.5
EE,2010,11.0
EE,2011,10.6
EE,2012,10.3
EE,2013,9.7
EE,2014,12.0
EE,2015,13.7
EE,2016,11.4
EE,2017,11.8
EE,2018,12.0
EE,2019,11.2
EE,2020,8.5
EE,2021,9.8
EE,2022,10.8
EL,2000,18.2
EL,2001,16.9
EL,2002,16.2
EL,2003,15.6
EL,2004,14.5
EL,2005,13.3
EL,2006,15.1
EL,2007,14.3
EL,2008,14.4
EL,2009,14.2
EL,2010,13.5
EL,2011,12.9
EL,2012,11.3
EL,2013,10.1
EL,2014,9.0
EL,2015,7.9
EL,2016,6.2
EL,2017,6.0
EL,2018,4.7
EL,2019,4.1
EL,2020,3.8
EL,2021,3.2
EL,2022,4.1
ES,2000,29.1
ES,2001,29.7
ES,2002,30.9
ES,2003,31.7
ES,2004,32.2
ES,2005,31.0
ES,2006,30.3
ES,2007,30.8
ES,2008,31.7
ES,2009,30.9
ES,2010,28.2
ES,2011,26.3
ES,2012,24.7
ES,2013,23.6
ES,2014,21.9
ES,2015,20.0
ES,2016,19.0
ES,2017,18.3
ES,2018,17.9
ES,2019,17.3
ES,2020,16.0
ES,2021,13.3
ES,2022,13.9
FI,2000,9.0
FI,2001,9.5
FI,2002,9.7
FI,2003,10.1
FI,2004,10.0
FI,2005,10.3
FI,2006,9.7
FI,2007,9.1
FI,2008,9.8
FI,2009,9.9
FI,2010,10.3
FI,2011,9.8
FI,2012,8.9
FI,2013,9.3
FI,2014,9.5
