DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2010,64.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2011,65.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2012,68.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2013,60.0,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2014,58.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2015,59.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2016,59.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2017,60.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2018,60.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2019,60.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2020,61.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CH,2021,61.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2005,59.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2006,63.7,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2007,63.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2008,64.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2009,65.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2010,64.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2011,61.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2012,63.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2013,64.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2014,66.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2015,63.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2016,68.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2017,65.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2018,62.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2019,62.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2020,62.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CY,2021,65.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CZ,2005,59.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CZ,2006,58.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CZ,2007,62.4,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CZ,2008,62.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CZ,2009,61.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CZ,2010,63.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CZ,2011,62.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A,YR,T,HLY_0,CZ,2012,63.2,
